"created_at","id","id_str","text","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user_id","user_id_str","user_name","user_screen_name","user_location","user_url","user_description","user_protected","user_verified","user_followers_count","user_friends_count","user_listed_count","user_favourites_count","user_statuses_count","user_created_at","user_utc_offset","user_time_zone","user_geo_enabled","user_lang","user_contributors_enabled","user_is_translator","user_profile_background_color","user_profile_background_image_url","user_profile_background_image_url_https","user_profile_background_tile","user_profile_link_color","user_profile_sidebar_border_color","user_profile_sidebar_fill_color","user_profile_text_color","user_profile_use_background_image","user_profile_image_url","user_profile_image_url_https","user_profile_banner_url","user_default_profile","user_default_profile_image","user_following","user_follow_request_sent","user_notifications","geo","coordinates","place","contributors","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","filter_level","lang","timestamp_ms",
"Thu Apr 02 22:16:23 +0000 2015","583754880004816900","583754880004816897","RT @thekatvond: http://t.co/OOQ5yHDWe6","<a href="http://www.twitter.com" rel="nofollow">Twitter for Windows</a>","false","null","null","null","null","null","2491482745","2491482745","Made Guap CEO","syfevunihaz","IG messymarv1","null","Im a Blueberry gummy panda Idk wtf im saying","false","false","1068","436","5","1055","1993","Mon May 12 13:43:51 +0000 2014","null","null","false","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/548583072791527424/0Zjws5aL_normal.jpeg","https://pbs.twimg.com/profile_images/548583072791527424/0Zjws5aL_normal.jpeg","https://pbs.twimg.com/profile_banners/2491482745/1419635853","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","und","1428012983691",
"Thu Apr 02 22:16:23 +0000 2015","583754880092926000","583754880092925954","RT @thekatvond: http://t.co/OOQ5yHDWe6","<a href="http://www.twitter.com" rel="nofollow">Twitter for Windows</a>","false","null","null","null","null","null","2457770894","2457770894","Theneeds Read","ziwezomuhid","Bangkok,Thailand","null","The online destination for fit fashion offering a global edit of style & performance driven activewear to inspire & motivate women to lead an active life","false","false","320","308","5","1083","1677","Tue Apr 22 07:30:05 +0000 2014","null","null","false","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/544886918115524608/9Ux6xi2T_normal.jpeg","https://pbs.twimg.com/profile_images/544886918115524608/9Ux6xi2T_normal.jpeg","https://pbs.twimg.com/profile_banners/2457770894/1419029043","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","und","1428012983712",
"Thu Apr 02 22:16:23 +0000 2015","583754879132368900","583754879132368897","RT @German1DTeam: WOW! 
1RT = 1VOTE 

I vote for #OneDirection #TheyreTheOne @radiodisney http://t.co/cLFC9AMICN","<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>","false","null","null","null","null","null","1254317874","1254317874","Johanna","JoHaehn","Germany","null","》Crazymofo || Mixer《                              Wattpader","false","false","119","66","2","7892","2880","Sat Mar 09 13:07:00 +0000 2013","null","null","false","de","false","false","000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","3B94D9","000000","000000","000000","false","http://pbs.twimg.com/profile_images/550015456061718528/QzLZNhHJ_normal.jpeg","https://pbs.twimg.com/profile_images/550015456061718528/QzLZNhHJ_normal.jpeg","https://pbs.twimg.com/profile_banners/1254317874/1426968571","false","false","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1428012983483",
"Thu Apr 02 22:16:23 +0000 2015","583754879665053700","583754879665053697","Rear mirror for Nighthawk Hawk CB 600F 900F CB1 Magna V 30 45 65 1000 250 6#7 http://t.co/A4TU6QAO8B http://t.co/f23LxIsmtk","<a href="http://ifttt.com" rel="nofollow">IFTTT</a>","false","null","null","null","null","null","2890249683","2890249683","best deals","bestdealsb","","null","best deals","false","false","58","19","17","0","65481","Mon Nov 24 05:12:44 +0000 2014","null","null","false","es","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/536749780458680320/tG0OzabZ_normal.jpeg","https://pbs.twimg.com/profile_images/536749780458680320/tG0OzabZ_normal.jpeg","https://pbs.twimg.com/profile_banners/2890249683/1416806112","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1428012983610",
"Thu Apr 02 22:16:23 +0000 2015","583754879702802400","583754879702802432","How to be Rocky

Look fierce when doing a photoshoot http://t.co/DVPgEgYWhk","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","false","null","null","null","null","null","3093583918","3093583918","R5 wannabes","HowtobeR5","In Ross' Backpack ","null","For all you R5 lovers who want to follow the guys trends, heres your virtual starter pack","false","false","338","176","0","34","210","Tue Mar 17 22:31:57 +0000 2015","null","null","false","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/578288244623835137/XlildPBF_normal.jpeg","https://pbs.twimg.com/profile_images/578288244623835137/XlildPBF_normal.jpeg","https://pbs.twimg.com/profile_banners/3093583918/1427046584","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1428012983619",
"Thu Apr 02 22:16:23 +0000 2015","583754879296008200","583754879296008192","RT @qaqutupiped: [イスラム国の遊び]
イスラム国の人が完全におかしい…

ヨルダン兵士を的にして、
逃げ惑う兵士に命中するまで銃を撃ち

実際に殺害してしまうまでの

衝撃動画がこれ
→ http://t.co/KdBLUZllVJ

＜閲覧注意＞ http:…","<a href="https://twitter.com/bina_gay" rel="nofollow">https://twitter.com/bina_gay</a>","false","null","null","null","null","null","2572556023","2572556023","使わんからフォロー外して","tamon_oboist","","null","乗っ取りされたから、新しいの作った。勝手にRTされるけど、乗っ取られてるから自分でやってる訳じゃないんで。よろしくm(_ _)m","false","false","144","303","0","65","422","Tue Jun 17 08:52:39 +0000 2014","null","null","false","ja","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/511108882328858625/NbZWX2et_normal.jpeg","https://pbs.twimg.com/profile_images/511108882328858625/NbZWX2et_normal.jpeg","https://pbs.twimg.com/profile_banners/2572556023/1411141704","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","ja","1428012983522",
"Thu Apr 02 22:16:23 +0000 2015","583754878909952000","583754878909952000","RT @knockknock0408: [DL] 150328 CHANYEOL SEHUN cr.PCYxOSH_11P
LINK &gt;&gt; http://t.co/YNrR8IO6aU http://t.co/DVG8biBDTA","<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>","false","null","null","null","null","null","230407371","230407371","ㅡ","baekxianssi","0692014♡","null","L.","false","false","798","187","2","5104","88600","Sat Dec 25 10:34:07 +0000 2010","-28800","Alaska","true","en","false","false","C0DEED","http://pbs.twimg.com/profile_background_images/437074349229494272/X9QoGryJ.jpeg","https://pbs.twimg.com/profile_background_images/437074349229494272/X9QoGryJ.jpeg","true","0084B4","FFFFFF","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/583474638199529473/SJ5shNM8_normal.jpg","https://pbs.twimg.com/profile_images/583474638199529473/SJ5shNM8_normal.jpg","https://pbs.twimg.com/profile_banners/230407371/1425908861","false","false","null","null","null","null","null","null","null","0","0","false","false","false","low","in","1428012983430",
"Thu Apr 02 22:16:23 +0000 2015","583754879321145300","583754879321145344","RT @Lady_Afrah: Saudi Arabia has violated internaitonal law and UN charter by attacking a sovereign country http://t.co/gl7ut1Jrih","<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>","false","null","null","null","null","null","545147045","545147045","Danny Wijnhoud","DannyWijnhoud","A'dam NL","null","@ActionAid_NL Sr. Researcher ( PhD) - Personal Views - RT /Quote/ following ≠ endorsement; Ts English-Dutch-Portugues;Global-Africa-Local, HR- Empowerment,etc","false","false","1593","2001","96","2278","43785","Wed Apr 04 13:58:26 +0000 2012","7200","Amsterdam","false","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/378800000172347292/64d2b8cc230a1e21510345ce1e100765_normal.jpeg","https://pbs.twimg.com/profile_images/378800000172347292/64d2b8cc230a1e21510345ce1e100765_normal.jpeg","https://pbs.twimg.com/profile_banners/545147045/1374526359","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1428012983528",
"Thu Apr 02 22:16:23 +0000 2015","583754879174193200","583754879174193152","RT @WorldStarFunny: nooooo he broke his ankles 😨 http://t.co/uUcYzzU1go","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","false","null","null","null","null","null","1080712512","1080712512","Rhyan","araizaaaaa","","null","null","false","false","355","148","0","1433","2082","Fri Jan 11 19:38:10 +0000 2013","-25200","Arizona","true","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/581976559239577602/2X7UY2OM_normal.jpg","https://pbs.twimg.com/profile_images/581976559239577602/2X7UY2OM_normal.jpg","https://pbs.twimg.com/profile_banners/1080712512/1422295761","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1428012983493",
"Thu Apr 02 22:16:23 +0000 2015","583754878834647000","583754878834647042","'Bae' http://t.co/VMUx898dAJ","<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>","false","null","null","null","null","null","241257059","241257059","Retlametswe ","Retla_SweetChix","D'afriQue` Du SuD","http://facebook.com/retla.jonas","Wisdom. Knowledge. & Understanding.","false","false","1738","308","10","269","53317","Fri Jan 21 20:52:59 +0000 2011","-7200","Greenland","true","en","false","false","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","0084B4","C0DEED","DDEEF6","333333","true","http://pbs.twimg.com/profile_images/568294950664953856/1rJsJIgY_normal.jpeg","https://pbs.twimg.com/profile_images/568294950664953856/1rJsJIgY_normal.jpeg","https://pbs.twimg.com/profile_banners/241257059/1418983987","true","false","null","null","null","null","null","null","null","0","0","false","false","false","low","und","1428012983412",
